                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8796,                 16.892,                 1.6051,                0.01203,                0.02326,                0.00126,                0.00051,                 2.0044,                 28.415,                 2.0804,                0.00014,                0.00014,                0.00014
                      2,                 1.6495,                 15.016,                 1.4861,                0.08333,                0.11628,                0.06123,                0.03496,                 1.2199,                 109.01,                 1.1298,             0.00029406,             0.00029406,             0.00029406
                      3,                  1.381,                 3.6453,                  1.178,                0.02196,                0.46512,                0.11027,                0.04678,                 1.4379,                 49.207,                  1.276,             0.00044178,             0.00044178,             0.00044178
                      4,                 1.4391,                 2.4997,                  1.293,                0.00408,                0.86047,                0.00408,                0.00217,                 1.5751,                    inf,                 1.3936,             0.00058317,             0.00058317,             0.00058317
                      5,                 1.4283,                 1.4414,                 1.2197,                0.04996,                0.39535,                0.05232,                0.02681,                 1.6351,                  15.23,                 1.7241,             0.00071822,             0.00071822,             0.00071822
                      6,                 1.4532,                 1.2799,                 1.3131,                0.00965,                 0.4834,                0.00782,                  0.003,                 2.2355,                 46.579,                 2.6395,             0.00084694,             0.00084694,             0.00084694
                      7,                 1.4765,                 1.1963,                 1.3134,                 0.0137,                0.02326,                0.00774,                 0.0013,                    nan,                    nan,                    nan,             0.00096932,             0.00096932,             0.00096932
                      8,                 1.4708,                 1.1645,                  1.293,                 0.0137,                0.02326,                0.00774,                 0.0013,                    nan,                    nan,                    nan,              0.0010854,              0.0010854,              0.0010854
                      9,                 1.4511,                 1.1349,                 1.3404,                 0.0007,                0.02326,                0.00017,                  4e-05,                 4.0404,                 119.96,                 10.755,              0.0011951,              0.0011951,              0.0011951
                     10,                 1.5264,                 1.1504,                 1.3628,                0.00388,                0.02326,                 0.0012,                 0.0004,                 3.3823,                 26.155,                 7.9131,              0.0012984,              0.0012984,              0.0012984
                     11,                 1.4196,                 1.0323,                 1.2828,                0.00487,                0.18605,                0.00181,                0.00059,                 2.9871,                 64.562,                 6.0251,              0.0013955,              0.0013955,              0.0013955
